#NAME: DoE 1-2040
#TITLE: DoE
#COLUMN_NAMES: Numero | NomEssai | FluxExp | BK | COAL | NUCL | MT

1 Cas1 1.223505e+05 1.500000e+00 1.100000e+00 9.285714e-01 7.727273e-01 
2 Cas2 1.352295e+05 6.666667e-01 1.400000e+00 1.142857e+00 9.090909e-01 
3 Cas3 1.191308e+05 1.166667e+00 1.700000e+00 1.357143e+00 1.045455e+00 
4 Cas4 1.320098e+05 1.666667e+00 5.600000e-01 1.571429e+00 1.181818e+00 
5 Cas5 1.255702e+05 8.333333e-01 8.600000e-01 1.785714e+00 1.318182e+00 
6 Cas6 1.384492e+05 1.333333e+00 1.160000e+00 5.306122e-01 1.454545e+00 
7 Cas7 1.175209e+05 1.833333e+00 1.460000e+00 7.448980e-01 1.590909e+00 
8 Cas8 1.303999e+05 5.555556e-01 1.760000e+00 9.591837e-01 1.727273e+00 
9 Cas9 1.239604e+05 1.055556e+00 6.200000e-01 1.173469e+00 1.863636e+00 
10 Cas10 1.368394e+05 1.555556e+00 9.200000e-01 1.387755e+00 5.123967e-01 
11 Cas11 1.207406e+05 7.222222e-01 1.220000e+00 1.602041e+00 6.487603e-01 
12 Cas12 1.336196e+05 1.222222e+00 1.520000e+00 1.816327e+00 7.851240e-01 
13 Cas13 1.271801e+05 1.722222e+00 1.820000e+00 5.612245e-01 9.214876e-01 
14 Cas14 1.400591e+05 8.888889e-01 6.800000e-01 7.755102e-01 1.057851e+00 
15 Cas15 1.167159e+05 1.388889e+00 9.800000e-01 9.897959e-01 1.194215e+00 
16 Cas16 1.295949e+05 1.888889e+00 1.280000e+00 1.204082e+00 1.330579e+00 
17 Cas17 1.231554e+05 6.111111e-01 1.580000e+00 1.418367e+00 1.466942e+00 
18 Cas18 1.360344e+05 1.111111e+00 1.880000e+00 1.632653e+00 1.603306e+00 
19 Cas19 1.199357e+05 1.611111e+00 7.400000e-01 1.846939e+00 1.739669e+00 
20 Cas20 1.328147e+05 7.777778e-01 1.040000e+00 5.918367e-01 1.876033e+00 
21 Cas21 1.263752e+05 1.277778e+00 1.340000e+00 8.061224e-01 5.247934e-01 
22 Cas22 1.392542e+05 1.777778e+00 1.640000e+00 1.020408e+00 6.611570e-01 
23 Cas23 1.183258e+05 9.444444e-01 1.940000e+00 1.234694e+00 7.975207e-01 
24 Cas24 1.312048e+05 1.444444e+00 5.120000e-01 1.448980e+00 9.338843e-01 
25 Cas25 1.247653e+05 1.944444e+00 8.120000e-01 1.663265e+00 1.070248e+00 
26 Cas26 1.376443e+05 5.185185e-01 1.112000e+00 1.877551e+00 1.206612e+00 
27 Cas27 1.215456e+05 1.018519e+00 1.412000e+00 6.224490e-01 1.342975e+00 
